id,name,department,industry,description,annual_volume,manual_effort_pct,error_rate_pct,business_impact,data_quality,implementation_complexity,risk_level
1,Supplier Risk Review,Marketing,Manufacturing,Supplier Risk Review workflow involving cross-functional business review and operational decisions.,6233,36,9,7,9,6,7
2,Exit Clearance,Sales,Logistics,Exit Clearance workflow involving cross-functional business review and operational decisions.,7966,47,16,10,7,2,4
3,Leave Request Processing,HR,Retail,Leave Request Processing workflow involving cross-functional business review and operational decisions.,9699,58,4,6,5,6,1
4,Case Summary Generation,Marketing,Healthcare,Case Summary Generation workflow involving cross-functional business review and operational decisions.,11432,69,11,9,10,2,7
5,Employee Document Verification,Sales,Telecommunications,Employee Document Verification workflow involving cross-functional business review and operational decisions.,13165,80,18,5,8,6,4
6,Credit Note Processing,HR,Technology,Credit Note Processing workflow involving cross-functional business review and operational decisions.,14898,25,6,8,6,2,1
7,Campaign Asset Review,Marketing,Financial Services,Campaign Asset Review workflow involving cross-functional business review and operational decisions.,16631,36,13,4,4,6,7
8,Invoice Matching,Sales,Manufacturing,Invoice Matching workflow involving cross-functional business review and operational decisions.,18364,47,20,7,9,2,4
9,Customer Onboarding,HR,Logistics,Customer Onboarding workflow involving cross-functional business review and operational decisions.,20097,58,8,10,7,6,1
10,Contract Review,Marketing,Retail,Contract Review workflow involving cross-functional business review and operational decisions.,21830,69,15,6,5,2,7
11,Purchase Order Approval,Sales,Healthcare,Purchase Order Approval workflow involving cross-functional business review and operational decisions.,23563,80,3,9,10,6,4
12,Expense Claim Validation,HR,Telecommunications,Expense Claim Validation workflow involving cross-functional business review and operational decisions.,25296,25,10,5,8,2,1
13,Service Ticket Triage,Marketing,Technology,Service Ticket Triage workflow involving cross-functional business review and operational decisions.,27029,36,17,8,6,6,7
14,Lead Qualification,Sales,Financial Services,Lead Qualification workflow involving cross-functional business review and operational decisions.,28762,47,5,4,4,2,4
15,Claims Intake,HR,Manufacturing,Claims Intake workflow involving cross-functional business review and operational decisions.,30495,58,12,7,9,6,1
16,Quality Incident Review,Marketing,Logistics,Quality Incident Review workflow involving cross-functional business review and operational decisions.,5228,69,19,10,7,2,7
17,Knowledge Base Update,Sales,Retail,Knowledge Base Update workflow involving cross-functional business review and operational decisions.,6961,80,7,6,5,6,4
18,Vendor Master Data Update,HR,Healthcare,Vendor Master Data Update workflow involving cross-functional business review and operational decisions.,8694,25,14,9,10,2,1
19,Payroll Exception Review,Marketing,Telecommunications,Payroll Exception Review workflow involving cross-functional business review and operational decisions.,10427,36,2,5,8,6,7
